title	description	datasetIdentifier	disease	authors	created	modified	accessed	landingPage	accessPage	format	conformsTo	license	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3	population_required	iri
NNDSS - Table II. Legionellosis to Malaria (2018)	"NNDSS - Table II. Legionellosis to Malaria - 2018. In this Table, provisional cases of selected notifiable diseases (?1,000 cases reported during the preceding year), and selected low frequency diseases are displayed. The Table includes total number of cases reported in the United States, by region and by states or territory. Note: This table contains provisional cases of selected national notifiable diseases from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data from the 50 states, New York City, the District of Columbia and the U.S. territories are collated and published weekly on the NNDSS Data and Statistics web page (https://wwwn.cdc.gov/nndss/data-and-statistics.html). Cases reported by state health departments to CDC for weekly publication are provisional because of the time needed to complete case follow-up. Therefore, numbers presented in later weeks may reflect changes made to these counts as additional information becomes available. The national surveillance case definitions used to define a case are available on the NNDSS web site at https://wwwn.cdc.gov/nndss/. Information about the weekly provisional data and guides to interpreting data are available at: https://wwwn.cdc.gov/nndss/infectious-tables.html. Footnotes: C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. ?: No reported cases. N: Not reportable. NA: Not Available. NN: Not Nationally Notifiable. NP: Nationally notifiable but not published. Cum: Cumulative year-to-date counts. Med: Median. Max: Maximum.  Case counts for reporting years 2017 and 2018 are provisional and subject to change. Data for years 2013 through 2016 are finalized. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS....  "	https://data.cdc.gov/api/views/acdz-tk8j	Legionellosis	Centers for Disease Control and Prevention	2/3/18	null	null	https://data.cdc.gov/d/acdz-tk8j	https://data.cdc.gov/api/views/acdz-tk8j/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	"Plasmodium falciparum in the United States, Plasmodium vivax in the United States, Plasmodium ovale in the United States, Plasmodium malariae in the United States, Legionella in the United States"	"http://www.pitt.edu/obc/IDE_0000001427, http://www.pitt.edu/obc/IDE_0000001430, http://www.pitt.edu/obc/IDE_0000001429, http://www.pitt.edu/obc/IDE_0000001428, http://www.pitt.edu/obc/IDE_0000001871"
"NNDSS - Table II. Hepatitis (viral, acute, by type) A & B (2018)"	"NNDSS - Table II. Hepatitis (viral, acute, by type) A & B - 2018. In this Table, provisional cases of selected notifiable diseases (?1,000 cases reported during the preceding year), and selected low frequency diseases are displayed. The Table includes total number of cases reported in the United States, by region and by states or territory. Note: This table contains provisional cases of selected national notifiable diseases from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data from the 50 states, New York City, the District of Columbia and the U.S. territories are collated and published weekly on the NNDSS Data and Statistics web page (https://wwwn.cdc.gov/nndss/data-and-statistics.html). Cases reported by state health departments to CDC for weekly publication are provisional because of the time needed to complete case follow-up. Therefore, numbers presented in later weeks may reflect changes made to these counts as additional information becomes available. The national surveillance case definitions used to define a case are available on the NNDSS web site at https://wwwn.cdc.gov/nndss/. Information about the weekly provisional data and guides to interpreting data are available at: https://wwwn.cdc.gov/nndss/infectious-tables.html. Footnotes: C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. ?: No reported cases. N: Not reportable. NA: Not Available. NN: Not Nationally Notifiable. NP: Nationally notifiable but not published. Cum: Cumulative year-to-date counts. Med: Median. Max: Maximum.  Case counts for reporting years 2017 and 2018 are provisional and subject to change. Data for years 2013 through 2016 are finalized. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS....  ? Perinatal hepatitis C cases are not included in this table. These data will be included in the annual NNDSS tables on the NNDSS Data and Statistics page (https://wwwn.cdc.gov/nndss/data-and-statistics.html) beginning with data year 2018 and in the annual Summary of Viral Hepatitis, published online by CDC's Division of Viral Hepatitis, available at https://www.cdc.gov/hepatitis/statistics/2015surveillance/index.htm. "	https://data.cdc.gov/api/views/btcp-84tv	Hepatitis Viral	Centers for Disease Control and Prevention	2/3/18	null	null	https://data.cdc.gov/d/btcp-84tv	https://data.cdc.gov/api/views/btcp-84tv/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	"Hepatitis A virus in the United States, Hepatitis B virus in the United States"	"http://www.pitt.edu/obc/IDE_0000000270, http://www.pitt.edu/obc/IDE_0000001867"
"NNDSS - Table II. Invasive Pneumococcal Diseases, Age less than 5 (2015)"	"NNDSS - Table II. Invasive Pneumococcal Diseases, Age <5 - 2017. In this Table, provisional cases of selected notifiable diseases (?1,000 cases reported during the preceding year), and selected low frequency diseases are displayed. The Table includes total number of cases reported in the United States, by region and by states, in accordance with the current method of displaying MMWR data. Data on United States exclude counts from US territories. Note: These are provisional cases of selected national notifiable diseases, from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data reported by the 50 states, New York City, the District of Columbia, and the U.S. territories are collated and published weekly as numbered tables printed in the back of the Morbidity and Mortality Weekly Report (MMWR). Cases reported by state health departments to CDC for weekly publication are provisional because of ongoing revision of information and delayed reporting. Case counts in this table are presented as they were published in the MMWR issues. Therefore, numbers listed in later MMWR weeks may reflect changes made to these counts as additional information becomes available. Footnotes:  C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. ?: No reported cases. N: Not reportable. NN: Not Nationally Notifiable. NP: Nationally notifiable but not published. Cum: Cumulative year-to-date counts. Med: Median. Max: Maximum. *Three low incidence conditions, rubella, rubella congenital, and tetanus, are in Table II to facilitate case count verification with reporting jurisdictions. ? Case counts for reporting years 2016 and 2017 are provisional and subject to change. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. Data for tuberculosis are displayed in Table IV, which appears quarterly. § Includes drug resistant and susceptible cases of Invasive Pneumococcal Disease. This condition was previously named Streptococcus pneumoniae invasive disease and cases were reported to CDC using different event codes to specify whether the cases were drug resistant or in a defined age group, such as <5 years. "	https://data.cdc.gov/api/views/9yc3-yir3	Invasive Pneumococcal Diseases	Centers for Disease Control and Prevention	1/19/17	null	null	https://data.cdc.gov/d/9yc3-yir3	https://data.cdc.gov/api/views/9yc3-yir3/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	Streptococcus pneumoniae in the United States	http://www.pitt.edu/obc/IDE_0000001425
NNDSS - Table IV. Tuberculosis (2016)	"NNDSS - Table IV. Tuberculosis - 2016.This Table includes total number of cases reported in the United States, by region and by states, in accordance with the current method of displaying MMWR data. Data on United States will exclude counts from US territories. Footnote: C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. -: No reported cases. N: Not reportable. NN: Not Nationally Notifiable Cum: Cumulative year-to-date counts. Min: Minimum. Max: Maximum. * Case counts for reporting year 2015 and 2016 are provisional and subject to change. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS... Data for TB are displayed quarterly. "	https://data.cdc.gov/api/views/pkas-xr96	Tb	Centers for Disease Control and Prevention	5/7/16	null	null	https://data.cdc.gov/d/pkas-xr96	https://data.cdc.gov/api/views/pkas-xr96/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	Mycobacterium tuberculosis in the United States	http://www.pitt.edu/obc/IDE_0000000263
NNDSS - Table II. West Nile to Zika (2018)	"NNDSS - Table II. West Nile to Zika - 2018. In this Table, provisional cases of selected notifiable diseases (?1,000 cases reported during the preceding year), and selected low frequency diseases are displayed. The Table includes total number of cases reported in the United States, by region and by states or territory. Note: This table contains provisional cases of selected national notifiable diseases from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data from the 50 states, New York City, the District of Columbia and the U.S. territories are collated and published weekly on the NNDSS Data and Statistics web page (https://wwwn.cdc.gov/nndss/data-and-statistics.html). Cases reported by state health departments to CDC for weekly publication are provisional because of the time needed to complete case follow-up. Therefore, numbers presented in later weeks may reflect changes made to these counts as additional information becomes available. The national surveillance case definitions used to define a case are available on the NNDSS web site at https://wwwn.cdc.gov/nndss/. Information about the weekly provisional data and guides to interpreting data are available at: https://wwwn.cdc.gov/nndss/infectious-tables.html. Footnotes: C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. ?: No reported cases. N: Not reportable. NA: Not Available. NN: Not Nationally Notifiable. NP: Nationally notifiable but not published. Cum: Cumulative year-to-date counts. Med: Median. Max: Maximum.  Case counts for reporting years 2017 and 2018 are provisional and subject to change. Data for years 2013 through 2016 are finalized. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS....  ? Not reportable in all jurisdictions. Reporting exceptions are available at http://wwwn.cdc.gov/nndss/downloads.html. "	https://data.cdc.gov/api/views/rxmp-xjpc	West Nile Virus Disease	Centers for Disease Control and Prevention	2/1/18	null	null	https://data.cdc.gov/d/rxmp-xjpc	https://data.cdc.gov/api/views/rxmp-xjpc/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	"West Nile virus in the United States, Zika virus in the United States"	"http://www.pitt.edu/obc/IDE_0000001421, http://www.pitt.edu/obc/IDE_0000001166"
NNDSS - Table IV. Tuberculosis (2014)	"NNDSS - Table IV. Tuberculosis - 2014.This Table includes total number of cases reported in the United States, by region and by states, in accordance with the current method of displaying MMWR data. Data on United States will exclude counts from US territories. Footnote:C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. -: No reported cases. N: Not reportable. NN: Not Nationally Notifiable Cum: Cumulative year-to-date counts. Min: Minimum. Max: Maximum. * Case counts for reporting year 2013 and 2014 are provisional and subject to change. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS... Updated reports to the National Center for HIV/AIDS, Viral Hepatitis, STD and TB Prevention. Data for TB are displayed quarterly. "	https://data.cdc.gov/api/views/pxa6-asqb	Tb	Centers for Disease Control and Prevention	5/7/16	null	null	https://data.cdc.gov/d/pxa6-asqb	https://data.cdc.gov/api/views/pxa6-asqb/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	Mycobacterium tuberculosis in the United States	http://www.pitt.edu/obc/IDE_0000000263
NNDSS - Table I. infrequently reported notifiable diseases (2016)	"NNDSS - Table I. infrequently reported notifiable diseases - 2016. In this Table, provisional* cases of selected? infrequently reported notifiable diseases (<1,000 cases reported during the preceding year) are displayed. Note: These are provisional cases of selected national notifiable diseases, from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data reported by the 50 states, New York City, the District of Columbia, and the U.S. territories are collated and published weekly as numbered tables printed in the back of the Morbidity and Mortality Weekly Report (MMWR). Cases reported by state health departments to CDC for weekly publication are provisional because of ongoing revision of information and delayed reporting. Case counts in these tables are presented as they were published in the MMWR issues. Therefore, numbers listed in later MMWR weeks may reflect changes made to these counts as additional information becomes available. ?Symbols and footnotes changed in week #4, please refer to the MMWR publication for the symbols/footnotes for weeks 1, 2, and 3?. Footnote: -: No reported cases N: Not reportable NA: Not available NN: Not Nationally Notifiable. NP: Nationally notifiable but not published. Cum: Cumulative year-to-date counts. * Case counts for reporting year 2016 are provisional and subject to change. Data for years 2011 through 2015 are finalized. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS.... ? This table does not include cases from the U.S. territories. Three low incidence conditions, rubella, rubella congenital, and tetanus, are in Table II to facilitate case count verification with reporting jurisdictions. § Calculated by summing the incidence counts for the current week, the 2 weeks preceding the current week, and the 2 weeks following the current week, for a total of 5 preceding years. Additional information is available at http://wwwn.cdc.gov/nndss/document/5yearweeklyaverage.pdf. ¶ Includes both neuroinvasive and nonneuroinvasive. Updated weekly reports from the Division of Vector-Borne Diseases, National Center for Emerging and Zoonotic Infectious Diseases (ArboNET Surveillance). Data for West Nile virus are available in Table II. ** Not reportable in all reporting jurisdictions. Data from states where the condition is not reportable are excluded from this table, except for the arboviral diseases and influenza-associated pediatric mortality. Reporting exceptions are available at http://wwwn.cdc.gov/nndss/downloads.html. ?? Office of Management and Budget approval of the NNDSS Revision #0920-0728 on January 21, 2016, authorized CDC to receive data for these conditions. CDC is in the process of soliciting data for these conditions (except Zika virus, congenital infection). CDC and the U.S. states are still modifying the technical infrastructure needed to collect and transmit data for Zika virus congenital infections. §§ Jamestown Canyon virus and Lacrosse virus have replaced California serogroup diseases. ¶¶ Data for Haemophilus influenzae (all ages, all serotypes) are available in Table II. *** Please refer to the MMWR publication for weekly updates to the footnote for this condition. ??? Please refer to the MMWR publication for weekly updates to the footnote for this condition. §§§ Data for meningococcal disease (all serogroups) are available in Table II. ¶¶¶ Please refer to the MMWR publication for weekly updates to the footnote for this condition. **** Updated weekly from reports to the Division of STD Prevention, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention. ???? Please refer to the MMWR publication for weekly updates to the footnote for this condition. §§§§ All cases reported have occurred in travelers returning from affected areas, with their sexual contacts, or infants infected in utero. "	https://data.cdc.gov/api/views/dwqk-w36f	Anthrax	Centers for Disease Control and Prevention	5/7/16	null	null	https://data.cdc.gov/d/dwqk-w36f	https://data.cdc.gov/api/views/dwqk-w36f/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	"Bacillus anthracis in United States, Chikungunya virus in United States, Eastern Equine encephalitis virus in United States, Jamestown Canyon virus in United States, La Crosse virus in United States, Powassan virus in United States, St. Louis encephalitis virus in United States, Western Equine encephalitis virus in United States, Brucella abortus in the United States, Brucella canis in the United States, Brucella melitensis in the United States, Brucella suis in the United States, Haemophilus ducreyi in the United States, Clostridium botulinum in the United States, Vibrio cholerae in the United States, Corynebacterium diphtheriae in the United States, Cyclospora cayetanensis in the United States, Haemophilus influenzae in the United States, Mycobacterium leprae in the United States, Mycobacterium lepromatosis in the United States, Hantavirus in the United States, Hepatitis B virus in the United States, Escherichia coli in the United States, Influenza virus in the United States, Leptospira in the United States, Listeria monocytogenes in the United States, Measles virus in the United States, Yersinia pestis in the United States, Human poliovirus 1 in the United States, Human poliovirus 3 in the United States, Rabies virus in the United States, Chlamydia psittaci in the United States, Coxiella burnetii in the United States, Treponema pallidum in the United States, Salmonella typhi in the United States, Streptococcus pyogenes in the United States, Streptococcus aureus in the United States, Trichinella spiralis in the United States, Francisella tularensis in the United States, Junin virus in the United States, Lassa virus in the United States, Lujo virus in the United States, Venezuelan hemorrhagic fever virus in the United States, Machupo virus in the United States, Marburg virus in the United States, Sabia virus in the United States, Yellow fever virus in the United States, Crimean�Congo hemorrhagic fever virus in the United States, Ebola virus in the United States"	"http://www.pitt.edu/obc/IDE_0000001418, http://www.pitt.edu/obc/IDE_0000001602, http://www.pitt.edu/obc/IDE_0000005308, http://www.pitt.edu/obc/IDE_0000005310, http://www.pitt.edu/obc/IDE_0000005312, http://www.pitt.edu/obc/IDE_0000005314, http://www.pitt.edu/obc/IDE_0000005316, http://www.pitt.edu/obc/IDE_0000005317,  http://www.pitt.edu/obc/IDE_0000001869, http://www.pitt.edu/obc/IDE_0000001848, http://www.pitt.edu/obc/IDE_0000001839, http://www.pitt.edu/obc/IDE_0000001859, http://www.pitt.edu/obc/IDE_0000005319, http://www.pitt.edu/obc/IDE_0000005321, http://www.pitt.edu/obc/IDE_0000001419, http://www.pitt.edu/obc/IDE_0000001841, http://www.pitt.edu/obc/IDE_0000005321, http://www.pitt.edu/obc/IDE_0000001423, http://www.pitt.edu/obc/IDE_0000001844, http://www.pitt.edu/obc/IDE_0000001837, http://www.pitt.edu/obc/IDE_0000005324, http://www.pitt.edu/obc/IDE_0000001867, http://www.pitt.edu/obc/IDE_0000001424, http://www.pitt.edu/obc/IDE_0000000420, http://www.pitt.edu/obc/IDE_0000005326, http://www.pitt.edu/obc/IDE_0000001863, http://www.pitt.edu/obc/IDE_0000000124, http://www.pitt.edu/obc/IDE_0000005328, http://www.pitt.edu/obc/IDE_0000005334, http://www.pitt.edu/obc/IDE_0000005333, http://www.pitt.edu/obc/IDE_0000001167, http://www.pitt.edu/obc/IDE_0000001856, http://www.pitt.edu/obc/IDE_0000005335, http://www.pitt.edu/obc/IDE_0000001855, http://www.pitt.edu/obc/IDE_0000001437, http://www.pitt.edu/obc/IDE_0000001872, http://www.pitt.edu/obc/IDE_0000001434, http://www.pitt.edu/obc/IDE_0000001876, http://www.pitt.edu/obc/IDE_0000001858, http://www.pitt.edu/obc/IDE_0000005338, http://www.pitt.edu/obc/IDE_0000005347, http://www.pitt.edu/obc/IDE_0000005348, http://www.pitt.edu/obc/IDE_0000005350, http://www.pitt.edu/obc/IDE_0000005349, http://www.pitt.edu/obc/IDE_0000005351, http://www.pitt.edu/obc/IDE_0000005352, http://www.pitt.edu/obc/IDE_0000001435, http://www.pitt.edu/obc/IDE_0000005353, http://www.pitt.edu/obc/IDE_0000005346"
Brazil Epidemiological and Morbidity	"Brazil Ministry of Health website, section for epidemiological and moribidity information, including hospital morbidity, cases of AIDS since 1980 (in temporary maintenance), cases of Leprosy since 2001, and diseases and injuries from 2001-present."	Brazil Ministry of Health public disease surveillance website	null	Anonymous 	null	null	null	http://www2.datasus.gov.br/DATASUS/index.php?area=0203	null	null	null	null	Brazil	5000	null	null	null	"HIV-1 in Brazil, Mycobacterium leprae in Brazil, Mycobacterium lepromatosis in Brazil"	"http://www.pitt.edu/obc/IDE_0000004134, http://www.pitt.edu/obc/IDE_0000005358, http://www.pitt.edu/obc/IDE_0000005360"
SY2016-17 6th Grade Socrata	2016-17 school year 6th grade immunizations	https://data.kingcounty.gov/api/views/c43n-zic7	Child	data.kingcounty.gov	4/20/17	null	null	https://data.kingcounty.gov/d/c43n-zic7	https://data.kingcounty.gov/api/views/c43n-zic7/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	humans in the United States	http://www.pitt.edu/obc/IDE_0000000021
"Notifiable Diseases and Mortality Tables of the U.S. Centers for Disease Control and Prevention, 2012-2017"	"This database contains data about infrequently reported notifiable diseases in the United States from 2012 to 2017 year in JSON format. Temporal coverage is 2012-2017, and temporal resolution is yearly, weekly. Open access."	MIDAS-ISG:WS-000486	null	"{'type': 'organization', 'description': 'The National Notifiable Diseases Surveillance System, Centers for Disease Control and Prevention'}"	null	null	null	https://dev.socrata.com/foundry/data.cdc.gov/j497-mmq3	null	JSON	null	null	United States	1216	null	null	null	"Bacillus anthracis in the United States, California encephalitis virus in United States, Guaroa virus in United States, Inkoo virus in United States, Jamestown Canyon virus in United States, La Crosse virus in United States, Snowshoe hare virus in United States, Tahyna virus in United States, Eastern equine encephalitis virus in United States, Powassan virus in United States, St. Louis encephalitis virus in United States, Western equine encephalitis virus in United States, Clostridium botulinum in United States, Brucella suis in the United States, Brucella canis in the United States, Brucella abortus in the United States, Haemophilus ducreyi in United States, Vibrio cholerae in the United States, Cyclospora cayetanensis in United States, Corynebacterium diphtheriae in the United States, Haemophilus influenzae in the United States, Hantavirus in United States, Mycobacterium leprae in the United States, Mycobacterium lepromatosis in the United States, Hepatitis B virus in the United States, Influenza virus in the United States, Leptospira in United States, Listeria monocytogenes in the United States, Measles virus in the United States, Neisseria meningitidis in the United States, Influenza A virus in United States, Yersinia pestis in United States, Human poliovirus 3 in United States, Chlamydia psittaci in the United States, Coxiella burnetii in United States, Rabies virus in the United States, Rubella virus in the United States, Streptococcus sp. 'group A' in the United States, Staphylococcus aureus in the United States, Treponema pallidum subsp. pallidum in the United States, Clostridium tetani in the United States, Trichinella spiralis in the United States, Francisella tularensis in the United States, Salmonella enterica subsp. enterica in the United States, Vibrio parahaemolyticus in United States, Vibrio vulnificus in United States"	"http://www.pitt.edu/obc/IDE_0000001418, http://www.pitt.edu/obc/IDE_0000005438, http://www.pitt.edu/obc/IDE_0000005414, http://www.pitt.edu/obc/IDE_0000005416, http://www.pitt.edu/obc/IDE_0000005310, http://www.pitt.edu/obc/IDE_0000005312, http://www.pitt.edu/obc/IDE_0000005424, http://www.pitt.edu/obc/IDE_0000005423, http://www.pitt.edu/obc/IDE_0000005308, http://www.pitt.edu/obc/IDE_0000005314, http://www.pitt.edu/obc/IDE_0000005316, http://www.pitt.edu/obc/IDE_0000005317, http://www.pitt.edu/obc/IDE_0000005321, http://www.pitt.edu/obc/IDE_0000001859, http://www.pitt.edu/obc/IDE_0000001848, http://www.pitt.edu/obc/IDE_0000001869, http://www.pitt.edu/obc/IDE_0000005319, http://www.pitt.edu/obc/IDE_0000001419, http://www.pitt.edu/obc/IDE_0000005323, http://www.pitt.edu/obc/IDE_0000001841, http://www.pitt.edu/obc/IDE_0000001423, http://www.pitt.edu/obc/IDE_0000005324, http://www.pitt.edu/obc/IDE_0000001844, http://www.pitt.edu/obc/IDE_0000001837, http://www.pitt.edu/obc/IDE_0000001867, http://www.pitt.edu/obc/IDE_0000000420, http://www.pitt.edu/obc/IDE_0000005326, http://www.pitt.edu/obc/IDE_0000001863, http://www.pitt.edu/obc/IDE_0000000124, http://www.pitt.edu/obc/IDE_0000001426, http://www.pitt.edu/obc/IDE_0000000303, http://www.pitt.edu/obc/IDE_0000005328, http://www.pitt.edu/obc/IDE_0000005333, http://www.pitt.edu/obc/IDE_0000001856, http://www.pitt.edu/obc/IDE_0000005335, http://www.pitt.edu/obc/IDE_0000001167, http://www.pitt.edu/obc/IDE_0000001860, http://www.pitt.edu/obc/IDE_0000001872, http://www.pitt.edu/obc/IDE_0000001434, http://www.pitt.edu/obc/IDE_0000001855, http://www.pitt.edu/obc/IDE_0000001877, http://www.pitt.edu/obc/IDE_0000001876, http://www.pitt.edu/obc/IDE_0000001858, http://www.pitt.edu/obc/IDE_0000005434, http://www.pitt.edu/obc/IDE_0000005422, http://www.pitt.edu/obc/IDE_0000005421"
SY2016-2017 Kindergarten	2016-17 school year kindergarten immunization assessment	https://data.kingcounty.gov/api/views/kvid-h825	Health	data.kingcounty.gov	4/20/17	null	null	https://data.kingcounty.gov/d/kvid-h825	https://data.kingcounty.gov/api/views/kvid-h825/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	humans in the United States	http://www.pitt.edu/obc/IDE_0000000021
LymeDisease_9211_county	"To facilitate the public health and research community's access to NNDSS data on Lyme disease, CDC has developed a public use dataset. Based on reports submitted to CDC, this dataset provides the number of confirmed cases by county for the years 1992???2011, in four 5???year intervals. County tabulation is by American National Standard Institute (ANSI) [formerly Federal Information Processing Standard (FIPS)] codes. County codes of ""0"" represent ""unknown"" county of residence within each state. More recent county-level case counts are not publicly available at this time. "	https://data.cdc.gov/api/views/smai-7mz9	Lyme	Centers for Disease Control and Prevention	9/28/15	null	null	https://data.cdc.gov/d/smai-7mz9	https://data.cdc.gov/api/views/smai-7mz9/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	Borrelia in the United States	http://www.pitt.edu/obc/IDE_0000001838
Adult and Children Vaccinations Provided	"This dataset contains information on the number of Vaccine for Children (VFC) and adult safety net (ASN) eligible clients that are immunized, on a monthly basis, through the Austin Public Health ?Shots for Tots? and ?Big Shots? programs at the St. John and Far South clinics. The data is extracted from the Texas Department of State Health Services? Texas-Wide Integrated Client Encounter System (TWICES) into an aggregate report for each clinic by an Austin Public Health employee at the beginning of each month.  No warranty is made by the City of Austin regarding the specific accuracy, relevance, or completeness of this dataset."	https://data.austintexas.gov/api/views/nttt-2a35	Clinic	data.austintexas.gov	4/18/16	null	null	https://data.austintexas.gov/d/nttt-2a35	https://data.austintexas.gov/api/views/nttt-2a35/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	humans in the United States	http://www.pitt.edu/obc/IDE_0000000021
Information on Confirmed Notifiable Infectious Diseases of the Government of Australia	This database contains data about notifications of all diseases and selected diseases from Australia at country level with a yearly temporal resolution from 1991 to 2017 as a tabular visualization on the webpage. Open access.	MIDAS-ISG:WS-000024	null	"{'type': 'organization', 'description': 'Australian Government Department of Health'}"	null	null	null	http://www9.health.gov.au/cda/source/cda-index.cfm	null	HTML	null	null	Australia	5079	null	null	null	Hepatitis B virus in Australia	http://www.pitt.edu/obc/IDE_0000004579
NNDSS - Table II. Cryptosporidiosis to Dengue Hemorrhagic Fever (2014)	"NNDSS - Table II. Cryptosporidiosis to Dengue Hemorrhagic Fever - 2014.In this Table, all conditions with a 5-year average annual national total of more than or equals 1,000 cases but less than or equals 10,000 cases will be displayed (??? 1,000 and ??_ 10,000). The Table includes total number of cases reported in the United States, by region and by states, in accordance with the current method of displaying MMWR data. Data on United States exclude counts from US territories. Note:These are provisional cases of selected national notifiable diseases, from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data reported by the 50 states, New York City, the District of Columbia, and the U.S. territories are collated and published weekly as numbered tables printed in the back of the Morbidity and Mortality Weekly Report (MMWR). Cases reported by state health departments to CDC for weekly publication are provisional because of ongoing revision of information and delayed reporting. Case counts in this table are presented as they were published in the MMWR issues. Therefore, numbers listed in later MMWR weeks may reflect changes made to these counts as additional information becomes available. Footnotes:C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. -: No reported cases. N: Not reportable. NN: Not Nationally Notifiable Cum: Cumulative year-to-date counts. Med: Median. Max: Maximum. * Case counts for reporting years 2013 and 2014 are provisional and subject to change. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS.... Data for TB are displayed in Table IV, which appears quarterly. ??? Dengue Fever includes cases that meet criteria for Dengue Fever with hemorrhage, other clinical, and unknown case classifications. ?? DHF includes cases that meet criteria for dengue shock syndrome (DSS), a more severe form of DHF.More information on NNDSS is available at http://wwwn.cdc.gov/nndss/. "	https://data.cdc.gov/api/views/b36e-ru3r	Cryptosporidiosis	Centers for Disease Control and Prevention	9/28/15	null	null	https://data.cdc.gov/d/b36e-ru3r	https://data.cdc.gov/api/views/b36e-ru3r/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	"Cryptosporidium hominis in the United States, Cryptosporidium parvum in the United States, Dengue virus in the United States"	"http://www.pitt.edu/obc/IDE_0000001866, http://www.pitt.edu/obc/IDE_0000001852, http://www.pitt.edu/obc/IDE_0000001420"
