title	description	dataset_identifier	disease	authors	created	modified	accessed	landing_page	access_page	format	conforms_to	license	geography	apollo_location_code	iso_3166	iso_3166_1	iso_3166_1_alpha_3	apollo_enabled	on_olympus
Laboratory Surveillance Bulletins on HIV, Streptococcus pneumoniae, Shiga toxin producing E. coli, Neisseria meningitidis, Candidemia, Neisseria gonorrhoeae in Chile	This website with data contains data about on confirmed HIV, Streptococcus pneumoniae,Shiga toxin producing E. coli,  Neisseria meningitidis, Candidemia, Neisseria gonorrhoeae cases from Chile at province and country level with a yearly temporal resolution from 2010 to 2015 in PDF format in Spanish. Temporal resolution is yearly. Open access.	MDC:WS-000086	null	The Department of Epidemiology of the Ministry of Health of Chile	null	null	null	http://www.ispch.cl/boletines	null	PDF	null	null	Chile	4956	CL	null	null	null	null
Annual Reports on Notifiable Infectious Diseases of the New Zealand Public Health Surveillance, 2014	This dataset contains data about notifiable diseases dataset by age, sex, ethnic group in New Zealand at country level from 2014 in XLSX format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2014, and temporal resolution is yearly. Open access.	MDC:WS-000332	null	New Zealand Public Health Surveillance	null	null	null	https://surv.esr.cri.nz/PDF_surveillance/Diseasetables/Notifiablediseasestatistics_2014.xlsx?m=1424810907	null	XLSX	null	null	New Zealand	5063	NZ	null	null	null	null
Data on Infectious Diseases in Czechia	This website with data contains data about incidences of selected infectious diseases in the Czech Republic from 2007 to 2017 year in HTML, PDF format. Spatial coverage is country, nand spatial resolution is country. Temporal coverage is 2007-2017, and temporal resolution is yearly. Open access.	MDC:WS-000106	null	National Institute of Public Health, Czech Republic	null	null	null	http://www.szu.cz/publikace/data/infekce-v-cr?lang=1	null	HTML; PDF	null	null	Czechia	5102	CZ	null	null	null	null
National Disease Surveillance & Response (NDSR) reports, Disease Early Warning System Reports, and Polio Surveillance Reports	This website with data contains data about notifiable diseases, morbidity, mortality, rate of vaccination coverage and polio cases in Afghanistan for 2012-2013, 2008-2017, 2013-2015 in PDF format. Spatial coverage is country, and spatial resolution is province, district. Temporal coverage is 2012-2013, 2008-2017, 2013-2015, and temporal resolution is yearly, quarterly, weekly. Open access.	MDC:WS-000001	null	Ministry of Public Health of the Islamic Republic of Afghanistan	null	null	null	http://moph.gov.af/en/documents	null	PDF	null	null	Afghanistan	5094	AF	null	null	null	null
Infectious Diseases in Germany, 2001-2012	This database contains data about notifiable infectious diseases in Germany from 2001 to 2012 year in ZIP and CVS format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2001-2012, and temporal resolution is yearly. Open access.	MDC:WS-000144	null	Robert Koch University	null	null	null	https://survstat.rki.de/Content/Query/Create.aspx	null	ZIP; CSV	null	null	Germany	5029	DE	null	null	null	null
Disease Surveillance Data on Notifiable Infectious Diseases of the Department of Health of the Republic of Philippines	This website with data contains data about disease surveillance from Philippines from 2010 to 2017 in PDF format in English. Spatial coverage is country, and spatial resolution is province. temporal coverage is 2010-2017, and temporal resolution is weekly. Open access.	MDC:WS-000362	null	Department of Health of the Republic of Phillippines	null	null	null	http://www.doh.gov.ph/statistics	null	PDF	null	null	Philippines	5163	PH	null	null	null	null
Annual Reports on Notifiable Infectious Diseases of the New Zealand Public Health Surveillance, 2013	This dataset contains data about notifiable diseases by age, sex, ethnic group in New Zealand at country level in 2013 in XLSX format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2013, and temporal resolution is yearly. Open access.	MDC:WS-000333	null	New Zealand Public Health Surveillance	null	null	null	https://surv.esr.cri.nz/PDF_surveillance/Diseasetables/Notifiablediseasestatistics_2013.xlsx?m=1393212216	null	XLSX	null	null	New Zealand	5063	NZ	null	null	null	null
Online Reported Notifiable Diseases in Canada, 1924-2015	This database contains data about notifiable diseases in Canada from 1924 to 2015 year in HTML, PDF, XLS format. Spatial coverage is country, and spatial resolution is country. Temporal coverage 1924-2015, and temporal resolution is yearly. Open access.	MDC:WS-000078	null	The Government of Canada	null	null	null	http://diseases.canada.ca/notifiable/charts?c=pl	null	HTML; PDF; XLS	null	null	Canada	5091	CA	null	null	null	null
Demographics and Maternal and Child Health in Ecuador	This website with data contains data about the maternal and child reproduction health status, chronic noncommunicable diseases, and population from Ecuador at province level in 2012 in Spanish. Temporal resolution is quarterly or yearly, Open access.	MDC:WS-000115	null	The Ministry of Health of Ecuador	null	null	null	http://www.salud.gob.ec/biblioteca/	null	PDF	null	null	Ecuador	5088	EC	null	null	null	null
Health Indicators for Honduras, by WHO, 2011-2013	This website with data contains data about demographics from Honduras at country level from 2011 to 2013 in PDF format. Temporal resolution is yearly. Open access.	MDC:WS-000162	null	World Health Organization	null	null	null	http://www.who.int/gho/countries/hnd.pdf	null	PDF	null	null	Honduras	4970	HN	null	null	null	null
Annual report of the National Notifiable Diseases Surveillance System of the Government of Australia	This website with data contains data about Australia's notifiable diseases at country level with a yearly temporal resolution from 1991 to 2014 in HTML and PDF format. Spatial coverage is country, and spatial resolution is country, state. Temporal coverage is 1991-2014, and temporal resolution is yearly. Open access.	MDC:WS-000029	null	The Department of Health, the Government of Australia	null	null	null	http://www.health.gov.au/internet/main/publishing.nsf/Content/cda-pubs-annlrpt-nndssar.htm	null	HTML; PDF	null	null	Australia	5079	AU	null	null	null	null
Notifiable Diseases and Mortality Tables published in MMWR of the U.S. Centers for Disease Control and Prevention, 2013-2016	This database contains data published in MMWR from the National Notifiable Diseases Surveillance System and 122 Cities Mortality Reporting System in the United States for 2014, 2015, and 2016 in CSV, JSON, RDF, and XML format. Spatial coverage is country, and spatial resolution is state. Temporal coverage is 2013-2016, and temporal resolution is yearly, quarterly, weekly. Open access.	MDC:WS-000485	null	The National Notifiable Diseases Surveillance System, Centers for Disease Control and Prevention	null	null	null	https://catalog.data.gov/dataset?q=NNDSS++Table+&sort=views_recent+desc&ext_location=&ext_bbox=&ext_prev_extent=-142.03125%2C-8.059229627200192%2C-59.0625%2C52.696361078274485&page=1	null	CSV; RDF; JSON; XML	null	null	United States	1216	US	null	null	null	null
Notifiable Diseases and Mortality Tables published in MMWR of the U.S. Centers for Disease Control and Prevention, 2017	This database contains data published in MMWR from the National Notifiable Diseases Surveillance System and 122 Cities Mortality Reporting System from the United States in 2017 in CSV, JSON, RDF, RSS, Excel, and XML format. Spatial coverage is country, and spatial resolution is state. Temporal coverage is 2017, and temporal resolution is weekly, quarterly, yearly. Open access.	MDC:WS-000483	null	The National Notifiable Diseases Surveillance System, Centers for Disease Control and Prevention	null	null	null	https://www.cdc.gov/mmwr/mmwr_nd/nd_data_tables.html	null	CSV; JSON; RDF; RSS; TSV for Excel; XML	null	null	United States	1216	US	null	null	null	null
Epidemiological Bulletins of the National Epidemiological Surveillance System of the Government of Mexico	This website with data contains surveillance data on notifiable diseases from Mexico at country level with a weekly temporal resolution from 1981 to 2016 in PDF format in Spanish. Open access.	MDC:WS-000240	null	The Government of Mexico	null	null	null	http://www.gob.mx/salud/acciones-y-programas/direccion-general-de-epidemiologia-boletin-epidemiologico	null	PDF	null	null	Mexico	5178	MX	null	null	null	null
Automated Health Control and Surveillance System	No public access.	MDC:WS-000513	null	Automated Health Control and Surveillance System of the Government of Venezuela	null	null	null	http://190.205.57.254/sistemas1/index.html	null	unknown	null	null	Venezuela	4995	VE	null	null	null	null
Annual Data on Notifiable Infectious Diseases of the Department of Public Health of California	This website with data contains data about communicable diseases from California at county level at a yearly temporal resolution from 1994 to 2015 in PDF format. Open access.	MDC:WS-000503	null	The Department of Public Health of California	null	null	null	https://archive.cdph.ca.gov/data/statistics/Pages/CDdata.aspx	null	PDF	null	null	United States	1216	US	null	null	null	null
Monthly and Quarterly Reports on Notifiable Infectious Diseases of the Government of Malta	This website with data contains data about monthly, quarterly and annual incidences of notifiable diseases in Malta and Gozo from 2000 to 2016 year in PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2000-2016, and temporal resolution is monthly, quarterly, yearly. Open acccess.	MDC:WS-000230	null	Ministry of Health of Malta, Infectious Disease Prevention and Control Unit	null	null	null	https://deputyprimeminister.gov.mt/en/health-promotion/idpcu/Pages/library.aspx	null	PDF	null	null	Malta and Gozo	5006	MT	null	null	null	null
Demographics and Social Indicators of the Government of Saint Lucia	This website contains economic and social status data reports, but no infectious disease data.	MDC:WS-000381	null	The Government of Saint Lucia	null	null	null	http://www.govt.lc/publications/	null	-	null	null	Saint Lucia	5017	LC	null	null	null	null
Blood Test Results of Donors with HIV, HCV, HBV and Syphilis of the Ministry of Health of the Republic of Ukraine, 2017	This website with data contains data about the test results of blood donors for HIV/AIDS, hepatitis C and B and syphilis by regions in Ukraine im 2017 in HTML format. Spatial coverage is country, and spatial resolution is country, subcountry, state. Temporal coverage is 2017, and temporal resolution is yearly.	MDC:WS-000472	null	Blood service of Urkraine, Ministry of Health of the Republic of Ukraine	null	null	null	http://bloodservice.org.ua/monitoring-sku/zalishok-test-sistem-po-ukrayini	null	HTML	null	null	Ukraine	4958	UA	null	null	null	null
Demographics and Mortality for Honduras, by WHO, 2001	This website with data contains data about demographic indicators from Honduras at country level with a yearly temproal resolution in 2001 in HTML format. Open access.	MDC:WS-000163	null	World Health Organization, PAHO	null	null	null	http://www1.paho.org/english/sha/prflhon.htm	null	HTML	null	null	Honduras	4970	HN	null	null	null	null
Data on Incidences of Notifiable Infectious Diseases of the Ministry of Health of Peru, 2017	This website with data contains data about vector-borne diseases, immunopreventable diseases, other infectious diseases by accumulated district level from Peru in 2017 in PDF format in Spanish. Temperal resolution is yearly. Open access.	MDC:WS-000358	null	National Center for Epidemiology, Prevention and Control of Diseases, The Ministry of Health of Peru	null	null	null	http://www.dge.gob.pe/portal/index.php?option=com_content&view=article&id=404&Itemid=356	null	PDF	null	null	Peru	5141	PE	null	null	null	null
Blood-borne Viruses & Sexually Transmitted Infection Reports of the Health Protection Scotland	This website with data contains data about blood borne viruses and STI incidences in Scotland in different years in PDF format. Spatial coverage is country, and spatial resolution is NHS board. Temporal coverage is varied, and temporal resolution is yearly. Open access.	MDC:WS-000390	null	Health Protection Scotland	null	null	null	http://www.hps.scot.nhs.uk/bbvsti/publications.aspx	null	PDF	null	null	Scotland	5019	GB	null	null	null	null
Solomon Islands Demographic and Health Survey, 2006-2007	This website with data contains data about population and children's vaccination from Solomon Islands at country level in 2007 in PDF format. Open access.	MDC:WS-000414	null	Solomon Islands National Statistics Office	null	null	null	http://www.statistics.gov.sb/statistics/demographic-statistics/demographic-and-health-surveys	null	PDF	null	null	Solomon Islands	5193	SB	null	null	null	null
Vital Statistics of the Central Dissemination System of Turkey, 2009-2013	This database contains data about demographic, births and deaths in Turkey from 2009 to 2013 in CSV, XLS format. Spatial coverage is country, and spatial resolution is subcountry. Temporal coverage is 2009-2013, and temporal resolution is yearly.	MDC:WS-000457	null	Central Dissemination System, Turkey	null	null	null	https://biruni.tuik.gov.tr/medas/?kn=114&locale=en	null	CSV; XLS	null	null	Turkey	5100	TR	null	null	null	null
Surveillance of Epidemic Diseases in Cameroon	This database contains data about surveillance of Epidemic Diseases (meningitis, varicella, cholera, non vesicular genital ulcer, typhoid fever, diarrhea, atypical pneumonia, viral haemorrhagic fever, influenza, viral hepatitis B and C,dengue, acute gastroenteritis, smallpox, lymphatic filariasis, rabies from dog bite, anthrax, chikungunya, snake bite) and other public health events in Cameroon from 2015 to 2017 in XLS, CSV, HTML, JSON, XML format. Spatial coverage is country, and spatial resolution is county, region, district. Temporal coverage is 2015-2017, and temporal resolution is weekly, monthly, two months, three months, yearly, 5 years . Open access.	MDC:WS-000077	null	Ministry of Public Health of Cameroon	null	null	null	https://www.dhis-minsante-cm.org/dhis-web-dashboard-integration/index.html	null	XLS; CSV; HTML; JSON; XML	null	null	Cameroon	4990	CM	null	null	null	null
Communicable diseases in Luxembourg, 1904-2013	This website with data contains data about communicable diseases in Luxembourg from 1904 to 2013 year in XLS, CSV, XML format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 1904-2013, and temporal resolution is decade, year. Open access.	MDC:WS-000215	null	Statistics Portal - Grand Duchy of Luxembourg	null	null	null	http://www.statistiques.public.lu/stat/ReportFolders/ReportFolder.aspx?IF_Language=eng&MainTheme=3&FldrName=3&RFPath=118	null	CSV; XLS; XML	null	null	Luxembourg	5155	LU	null	null	null	null
Monthly Data on Notifiable Infectious Diseases in Bosnia and Herzegovina	This website with data contains data about monthly incidences of infectious diseases in Bosnia and Herzegovina from 2011 to 2017 year in PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2011-2017, and temporal resolution is monthly. Open access.	MDC:WS-000059	null	Institute for Public Health, Government of Bosnia and Herzegovina	null	null	null	http://www.zzjzfbih.ba/epidemioloski-bilteni/	null	PDF	null	null	Bosnia and Herzegovina	4980	BA	null	null	null	null
Annual and Monthly Data on Infectious Diseases in Latvia, 2002-2017	This website with data contains data about infectious and parasitic diseases in Latvia from 2002 to 2017 year in PDF format. Spatial coverage is country, and spatial resolution is country, region. Temporal coverage is 2002-2017, and temporal resolution is yearly, monthly. Open access.	MDC:WS-000207	null	Centre for Disease Prevention and Control of Latvia	null	null	null	https://www.spkc.gov.lv/lv/statistika-un-petijumi/infekcijas-slimibas/epidemiologijas-bileteni1	null	PDF	null	null	Latvia	5181	LV	null	null	null	null
Public Health Events Surveillance on notifiable diseases in Chile	This website with data contains data about notifiable diseases from Chile at province or country level with a weekly temporal resolution from 2016 to 2017 in PDF format in Spanish. Open access.	MDC:WS-000089	null	The Department of Epidemiology of the Ministry of Health of Chile	null	null	null	http://epi.minsal.cl/vigilancia-eventos-salud-publica-2017/	null	PDF	null	null	Chile	4956	CL	null	null	null	null
Communicable Disease Reports, Healthcare-associated Infections, and Influenza Reports in Canada	This website with data contains Communicable Disease Reports (2007-2015), healthcare-associated infections (2012-2014), and influenza surveillance (2011-2017) from Canada at region or country level with a monthly (2017) and yearly temporal resolution in PDF format. Open access.	MDC:WS-000079	null	Government of Newfoundland and Labrador	null	null	null	http://www.health.gov.nl.ca/health/publichealth/cdc/informationandsurveillance.html	null	PDF	null	null	Canada	5091	CA	null	null	null	null
Population Census of the Republic of Belarus, 2009	This database contains data about demographic in Belarus from 2009 census in RTF, XLS, PDF, HTML format. Open access.	MDC:WS-000045	null	National Statistical Committee of the Republic of Belarus	null	null	null	http://census.belstat.gov.by/Default.aspx?page=1683	null	RTF; XLS; PDF; HTML	null	null	Belarus	4972	BY	null	null	null	null
Historical digital archive of information on Vital Statistics, Hospital discharge, Health care and resources statistics, and  Notifiable diseases of the Department of Health Statistics and Information of Chile	This website with data contains data about historical data on vital statistics, hospital discharge, health care and resources, and compulsary notifiable infectious diseases from Chile at country, region and commune level with yearly temporal resolution from 1995 to 2002 in XLSX format in Spanish. Open access.	MDC:WS-000093	null	The Department of Health Statistics and Information of Chile	null	null	null	http://www.deis.cl/archivo-historico/	null	XLSX	null	null	Chile	4956	CL	null	null	null	null
Data on Infectious Diseases in Estonia	This website with data contains data about incidences of communicable diseases, tuberculosis, HIV is Estonia from 2004 to 2017 year in PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2004-2017, temporal resolution is monthly. Open access.	MDC:WS-000123	null	Terviseamet, Estonia	null	null	null	http://www.terviseamet.ee/en/cdc/communicable-disease-bulletin.html	null	PDF	null	null	Estonia	5059	EE	null	null	null	null
Annual and Monthly Data on Communicable Infectious Diseases in Lebanon, 2005-2016	This website with data contains data about incidences of notfiable infectious diseases in Lebanon from 2005 to 2016 year in HTML format. Spatial coverage is country, and spatial resolution is country and region. Temporal coverage is 2005-2016, and temporal resolution is yearly, monthly, weekly. Open access.	MDC:WS-000208	null	Ministry of Public Health of Lebanon	null	null	null	http://www.moph.gov.lb/ar/Pages/2/194/%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA-%D8%A7%D9%84%D9%88%D8%A8%D8%A7%D8%A6%D9%8A%D8%A9#/ar/view/196/general-surveillance-data-past-years	null	HTML	null	null	Lebanon	5004	LB	null	null	null	null
Papua New Guinea National Department of Health	This website with data contains annual report or health report can be requested through the online form or by calling.	MDC:WS-000353	null	Papua New Guinea National Department of Health	null	null	null	http://www.health.gov.pg/pages/healthpolicyA.htm	null	unknown	null	null	Papua New Guinea (PNG	5080	PG	null	null	null	null
Biweekly and Annual Epidemiological Reports of the National Institute of Public Health of Poland	This website with data contains data about infectious diseases and poisoning, 1996-2016, immunization, 1998-2016, flu, 2000-2017, HIV/AIDS, 1996-2017, Laboratory of Monitoring and Analysis of Epidemiological Situation, 2002-2017 in Poland in PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 1996-2016, 1998-2016, 2000-2017, 1996-2017, temporal resolution is biweekly, yearly. Open access.	MDC:WS-000366	null	National Institute of Public Health of Poland	null	null	null	http://www.pzh.gov.pl/meldunki-epidemiologiczne/	null	PDF	null	null	Poland	4981	PL	null	null	null	null
Data on STD cases of the Center of Public Health of Ukraine, 2014	This website with data contains data about monthly incidences of STI's in Ukraine by region in 2014. Spatial coverage is country, and spatial resolution is country, subcountry, state. Temporal coverage is 2014, and spatial resolution is monthly. Open access.	MDC:WS-000471	null	Center of public health, Ukraine	null	null	null	http://phc.org.ua/pages/diseases/other_social_diseases/std/std-statistics	null	PDF	null	null	Ukraine	4958	UA	null	null	null	null
Vaccination Coverage and Infectious Diseases in Jordan, 1990-2016	This website with data contains data about number of cases in communicable diseases by health districts, 1990-2016; diarrhea, 1995-2016, immunization coverage, 1990-2016, number of cases and incidence rate of some diseases, 1996-2016, cummulative AIDS/HIV, 1986-2016, cancer cases distribution, 1996-2013, pulmonary cases, 1992-2016 in Jordan in HTML format. Spatial coverage is country, and spatial resolution is country, directorate. Temporal coverage is 1990-2016, 1995-2016, 1996-2016, 1986-2016, 1996-2013, 1992-2016, and temporal resolution is yearly. Open access.	MDC:WS-000198	null	Ministry of Health of Hashemite Kingdom of Jordan	null	null	null	http://www.moh.gov.jo/Pages/viewpage.aspx?pageID=240	null	HTML	null	null	Jordan	4993	JO	null	null	null	null
Communicable Diseases Quarterly Reports of the Syrian Ministry of Health, 2012-2013	This website with data contains data about priority reportable communicable diseases in Syria from 2012 to 2013 and for 2013 year in PDF format. Spatial coverage is country, and spatial resolution is country and governorate. Temporal coverage is 2012-2013 and 2013, and temporal resolution is quarterly. Open access.	MDC:WS-000437	null	Early Warning Alert and Response System (EWARS), Syrian Ministry of Health	null	null	null	http://www.moh.gov.sy/pages/EpidemicBulletin/201304/indexe.html	null	PDF	null	null	Syrian Arab Republic	4997	SY	null	null	null	null
Health Profiles for Northern Mariana Islands by WHO	This website with data contains data about population, HIV prevalence in adult, mortality rate due to tuberculosis, tuberculosis prevalence rate from Northern Mariana Islands at country level with a yearly temporal resolution on the webpage. Open access.	MDC:WS-000344	null	World Health Organization, Western Pacific Region (WPRO)	null	null	null	http://hiip.wpro.who.int/portal/Countryprofiles/NorthernMarianaIslands/HealthProfiles.aspx	null	-	null	null	Northern Mariana Islands, Commonwealth of the (USA)	1630	MP	null	null	null	null
Weekly Epidemiological Bulletins of the Federal Office of Public Health of Switzerland, 2012-2016	This website with data contains data about infectious disease in Switzerland from 2016 to 2017 in PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2012-2016, and temporal resolution is weekly. Open access.	MDC:WS-000434	null	Federal Office of Public Health of Switzerland	null	null	null	https://www.bag.admin.ch/bag/de/home/service/publikationen/bag-bulletin.html	null	PDF	null	null	Switzerland	5176	CH	null	null	null	null
Weekly Epidemiological Bulletins of the Ministry of Health of Singapore	This website with data contains Epidemiological News Bulletin from Singapore at country level with weekly temporal resolution from 2004 to 2017 in PDF format. Open access.	MDC:WS-000402	null	Ministry of Health of Singapore	null	null	null	https://www.moh.gov.sg/content/moh_web/home/Publications/epidemiological_news_bulletin.html	null	PDF	null	null	Singapore	5166	SG	null	null	null	null
Annual and Monthly Reports on Infectious Diseases in Lithuania, 2003-2017	This website with data contains data about infectious diseases and tuberculin skin resr performance reports in Lithuania from 2003 to 2017 year in PDF, XLS format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2003-2017, and temporal resolution is yearly, monthly. Open access.	MDC:WS-000212	null	Centre for Communicable Disease and AIDS, Lithuania	null	null	null	http://www.ulac.lt/ataskaitos#metines	null	XLS; PDF	null	null	Lithuania	5042	LT	null	null	null	null
Demographics, Vital Statistics and Selected Infectious Diseases in Lithuania, 2011-2015	This database contains data about demographic, incidence and prevalence of HIV/AIDS and tuberculosis in Lithuania from 2011 to 2015 year in XLSX format. Spatial coverage is country, and spatial resolution is country, county. Temporal coverage is 2011-2015, and temporal resolution is yearly. Open access.	MDC:WS-000213	null	Lithuania Statistics Department	null	null	null	https://osp.stat.gov.lt/statistiniu-rodikliu-analize#/	null	XLSX	null	null	Lithuania	5042	LT	null	null	null	null
Reports on HIV, Cholera, Syphilis, and Malaria in Haiti, 2010-2017	This website with data contains data about infectious disease from Haiti at province level from 2010 to 2017 in PDF format in French. Temporal resolution is weekly or yearly. Open access.	MDC:WS-000160	null	The Ministry of Public Health and Population of Haiti	null	null	null	http://mspp.gouv.ht/newsite/documentation.php	null	PDF	null	null	Haiti	4989	HT	null	null	null	null
Data on Vital Statistics in British Virgin Islands	This website with data contains economic and financial data available, but no infectious disease data available.	MDC:WS-000065	null	The Government of The Virgin Islands	null	null	null	http://www.bvi.gov.vg/statistics?title=&field_stats_catergory_tid=All	null	PDF; CSV	null	null	British Virgin Islands	5013	VG	null	null	null	null
Morbidity, Infectious Diseases and Vaccination Coverage in Ethiopia	This website with data contains data about health and health related indicators on cases of HIV, tuberculosis, malaria, leprosis, meningitis, vaccination coverage in Ethiopia from 1992 to 2007 year in PDF format. Spatial coverage is country, and spatial resolution is country, region. Temporal coverage is 1992-2007, and temporal resolution is yearly. Open access.	MDC:WS-000125	null	Ministry of Health of Ethiopia	null	null	null	http://www.moh.gov.et/web/guest/bycategory	null	PDF	null	null	Ethiopia	5179	ET	null	null	null	null
Weekly Epidemiological Reports on Notifiable Infectious Diseases in Bolivia	This website with data contains data about epidemiological bulletin from Bolivia at province level from 2016 to 2017 in PDF format in Spanich. Temporal resolution is weekly. Open access.	MDC:WS-000056	null	The Ministry of Health of Bolivia	null	null	null	https://www.minsalud.gob.bo/8-institucional/2679-partes-epidemiologico-2016-2017	null	PDF	null	null	Bolivia	4963	BO	null	null	null	null
Surveillance Data on Notifiable Infectious Diseases of the National Centre for Surveillance and Control of Communicable Diseases of Romania	This website with data contains data about epidemiological surveillance of haemorrhagic fever with renal syndrome, 2014; Analysis of the evolution of acute diarrheal disease, 2013-2015; Analysis of Lyme disease, 2012-2016; Analysis of vaccine coverage estimates of 18 month children, 2010-2017; Results of SARI Surveillance, 2013-2014; Viral hepatitis B and C, 2012-2016; Analysis of renal syndrome hantivirus etiology, 2015; Urine infection analysis, 2016; Antibiotic use, Microbial Resistance and Nosocomial Infection, 2012-2015; Evolution of Meningococcal Disease in Romania, 2011-2016; Rubella, 2013-2014; Food Toxic Infections, 2011-2013; Tuberculosis 2008-2014; Pertussis, 2008-2016; in Romania in PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2008-2016, 2010-2016, 2011-2016, 2012-2016, 2013-2015, 2012-2015, 2013-2014, 2008-2014, 2010-2017, and temporal resolution is yearly. Open access.	MDC:WS-000372	null	National Centre for Surveillance and Control of Communicable Diseases of Romania	null	null	null	http://www.cnscbt.ro/index.php/analiza-date-supraveghere	null	PDF	null	null	Romania	5026	RO	null	null	null	null
Annual Influenza Reports in Germany, 1996-2016	This website with data contains data about yearly incidences of influenza in Germany by region and serotype from 1996 to 2016 in PDF format. Spatial coverage is country, and spatial resolution is yearly. Temporal coverage is 1996-2016, and spatial resolution is yearly. Open access.	MDC:WS-000145	null	Arbeitsgemeinschaft Influenza	null	null	null	https://influenza.rki.de/Saisonbericht.aspx	null	PDF	null	null	Germany	5029	DE	null	null	null	null
Health Status on Notifiable Infectious Diseases of the Department of Health of the Republic of Philippines	This website with data contains data about population, notifiable disease, morbidity and mortality in Philippines from 1993 to 2014 in HTML, XLSX format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 1993-2014, and temporal resolution is yearly. Open access.	MDC:WS-000361	null	Department of Health of the Republic of Phillippines	null	null	null	http://www.doh.gov.ph/notifiable_diseases	null	HTML; XLSX	null	null	Philippines	5163	PH	null	null	null	null
Vaccination Coverage Percentage for Countries and Territories of the Americas	This website with data contains data about vaccination coverage of DTP 3, Measles MMR1, and MMR2 from Aruba at country level with a yearly temporal resolution from 2007 to 2010 in PDF format. Open access.	MDC:WS-000021	null	World Health Organization, PAHO	null	null	null	http://www.paho.org/data/index.php/en/mnu-topics/immunizations/296-vaccination-coverage-by-country.html	null	PDF	null	null	Aruba	4971	AW	null	null	null	null
Sexually Transmitted Diseases Surveillance of the U.S. Centers for Disease Control and Prevention, 1941-2015	This website with data contains surveillance data on sexually transmitted diseases in the United States from 1941 to 2015 in HTML format. Spatial coverage is country, and spatial resolution is country, state, area. Temporal coverage is 1941-2015, and temporal resolution is yearly. Open access.	MDC:WS-000497	null	Centers for Disease Control and Prevention	null	null	null	https://www.cdc.gov/std/stats15/tables.htm	null	HTML	null	null	United States	1216	US	null	null	null	null
Statistical Information on Demogarphics of Anguilla	This website with data contains data about Demography & Culture. Economic Activity, Education & Training, Health, Disabilities & Insurance Coverage and Population Projections from Anguilla in 2001; however, there is no infectious diseases data.	MDC:WS-000012	null	Anguilla Statistics Department	null	null	null	http://www.gov.ai/statistics/statistics.htm	null	HTML	null	null	Anguilla	5056	AI	null	null	null	null
Statistics on Basic Indicators, Nutrition, Health, HIV/AIDS, Education, and Demographic Indicators, Economic Indicators, Women, Child Protection, The Rate of Progress, Adolsecents, Disparities by Residence, by Household Wealth, and Childhood Development by UNICEF	This website with data contains data about demographic indicators HIV/AIDS, immunization coverage, and mortality rates from Barbados at country level with a yearly temporal resolution in 2012 in HTML format. Open access.	MDC:WS-000040	null	UNICEF, Barbados	null	null	null	https://www.unicef.org/infobycountry/barbados_statistics.html	null	HTML	null	null	Barbados	5135	BB	null	null	null	null
Health Indicators of of the Ministry of Health of the Republic of Panama	This website with data contains data about health indicators from Panama at country level from 2000 to 2013 in PDF format in Spanish. Temporal resoultion is yearly. Open access.	MDC:WS-000352	null	The Government of Panama	null	null	null	http://www.minsa.gob.pa/informacion-salud/indicadores-de-salud	null	PDF	null	null	Panama	5074	PA	null	null	null	null
Vital Statistics of the Government of Malta	This website with data contains data about demographic, births and deaths in Malta from 2005 to 2015 year in HTML, SDMX-ML, XLS, PDF format. Spatial coverage is country, and spatial resolution is country, region, city. Temporal coverage si 2005-2015, and temporal resolution is yearly. Open access.	MDC:WS-000229	null	National Statistics Office of Malta	null	null	null	https://nso.gov.mt/statdb/start	null	HTML; SDMX-ML; XLS; PDF	null	null	Malta	5006	MT	null	null	null	null
Weekly Epidemiological Bulletins of the Ministry of Health of the Republic of Panama, 2004-2017	This website with data contains data about epidemiological bulletin weekly from Panama at province level from 2004 to 2017 in PDF format in Spanish. Temporal resolution is weekly. Open access.	MDC:WS-000351	null	The Government of Panama	null	null	null	http://www.minsa.gob.pa/informacion-salud/boletines-semanales	null	PDF	null	null	Panama	5074	PA	null	null	null	null
Information on Infectious Diseases in the Republic of Andorra	This website with data contains data about incidences of communicable diseases in Andorra by age, gender and comparison with the previous year from 2000 to 2015 in PDF format. Spatial coverage is country, and spatial resolution is country, community. Temporal coverage is 2000-2015, and temporal resolution is yearly. Open access.	MDC:WS-000008	null	Carlos III Health Institute	null	null	null	http://www.isciii.es/ISCIII/es/contenidos/fd-servicios-cientifico-tecnicos/fd-vigilancias-alertas/fd-sistema-informacion-microbiologica/informes-generales.shtml	null	PDF	null	null	Andorra	5109	AD	null	null	null	null
